method,intra_cor,imp_V0,tr_V0,imp_V1,tr_V1,imp_V2,tr_V2,imp_V3,tr_V3,imp_V4,tr_V4,imp_V5,tr_V5,imp_V6,tr_V6,imp_V7,tr_V7,imp_V8,tr_V8,imp_V9,tr_V9,imp_V10,tr_V10,imp_V11,tr_V11,imp_V12,tr_V12,imp_V13,tr_V13,imp_V14,tr_V14,imp_V15,tr_V15,imp_V16,tr_V16,imp_V17,tr_V17,imp_V18,tr_V18,imp_V19,tr_V19,imp_V20,tr_V20,imp_V21,tr_V21,imp_V22,tr_V22,imp_V23,tr_V23,imp_V24,tr_V24,imp_V25,tr_V25,imp_V26,tr_V26,imp_V27,tr_V27,imp_V28,tr_V28,imp_V29,tr_V29,imp_V30,tr_V30,imp_V31,tr_V31,imp_V32,tr_V32,imp_V33,tr_V33,imp_V34,tr_V34,imp_V35,tr_V35,imp_V36,tr_V36,imp_V37,tr_V37,imp_V38,tr_V38,imp_V39,tr_V39,imp_V40,tr_V40,imp_V41,tr_V41,imp_V42,tr_V42,imp_V43,tr_V43,imp_V44,tr_V44,imp_V45,tr_V45,imp_V46,tr_V46,imp_V47,tr_V47,imp_V48,tr_V48,imp_V49,tr_V49,training_time
0.5*CPI,0.0,0.0,0.0,-0.037167038309348754,0.0,-0.2411101948858061,1.0,0.0,0.0,0.013203053962570266,1.0,0.0818273866353536,0.0,0.007557696181606843,0.0,0.026623150241078974,0.0,0.004207672164284304,0.0,-0.0113789285653354,0.0,0.02293609471274749,1.0,0.10822209783165704,1.0,1.21411518853958,0.0,-0.10281490241968072,0.0,0.0,0.0,0.15822570441437733,0.0,-0.12357115667862217,0.0,-0.0014881142084846033,0.0,0.0,0.0,-0.35909536071727644,0.0,0.04219587907502387,0.0,0.0,0.0,-2.9189489004647555,1.0,0.0,0.0,-0.0064283860147043015,0.0,0.08469708682588362,0.0,0.0,0.0,-0.4388407045257736,1.0,1.3651326208949683,1.0,-0.021779568524095794,0.0,-0.0018204615742263286,0.0,-0.09056071606292448,1.0,0.0,0.0,-0.11085677628238955,1.0,0.43158107856945094,0.0,-0.11820526636927298,1.0,-0.03691393117699704,0.0,0.40058689733888286,0.0,-0.7263207199369504,1.0,0.0,0.0,0.008847968770453463,0.0,-0.08673671959661533,1.0,-0.005369845061210299,0.0,-0.006570097146948228,0.0,0.27429835734321273,0.0,-0.08557114004005939,0.0,0.3328549957176392,0.0,-0.024416512937250445,0.0,0.0,0.0,0.020140442236510125,0.0,44.92422652244568
0.5*CPI,0.15,0.013251097287351854,0.0,-0.1669329360083367,0.0,-0.27537436597961573,1.0,0.036663317655495575,0.0,0.6846894243364403,1.0,0.6343184580882877,0.0,0.008648744023517452,0.0,0.12233845228382734,0.0,1.6443815135313855,0.0,-0.06610471503346105,0.0,0.10827237319639949,1.0,0.47984943670014957,1.0,-0.0919259701465478,0.0,-0.005252273250135886,0.0,-0.10433442392329084,0.0,-1.052001889617003,0.0,-0.8938827608097739,0.0,0.34413841362621156,0.0,0.033159043324900495,0.0,0.0896387163164718,0.0,1.9561970573809475,0.0,-0.31499296922908115,0.0,-0.8946270517239725,1.0,0.3367206190475116,0.0,-2.539458472407034,0.0,0.0444496825501659,0.0,0.20532455449365727,0.0,0.78854492428502,1.0,0.1978135647092074,1.0,-0.08643617954963645,0.0,0.048745210224254265,0.0,-0.832332064837729,1.0,0.2639047077597496,0.0,1.9730009151146248,1.0,0.3231082154907483,0.0,3.516802521728721,1.0,-0.1737422061580105,0.0,-2.6036065836402855,0.0,0.16511688510217937,1.0,0.4315850280761282,0.0,-0.011621368853042213,0.0,0.9808450706937748,1.0,-0.08643621811532398,0.0,-0.020745103321289093,0.0,-1.3306941875795815,0.0,0.17578835380021474,0.0,0.12759583702273858,0.0,-0.08491374308806598,0.0,0.04948780961926502,0.0,0.3882653045725135,0.0,27.93417978286743
0.5*CPI,0.3,0.02932026650938724,0.0,0.005113859207682481,0.0,1.9788802082859718,1.0,-0.050668418647006774,0.0,0.36007827478374566,1.0,-0.03960836320774774,0.0,-0.1046428248023119,0.0,0.034286236137006654,0.0,0.058321515194080575,0.0,0.04982847922681799,0.0,-5.591254116273433,1.0,-0.841284244790387,1.0,0.24032476121928426,0.0,0.0,0.0,0.011133897915158286,0.0,0.14797695168590508,0.0,-0.052174394849032524,0.0,-0.2826897526565517,0.0,-0.5721055230655736,0.0,-0.03230819486870473,0.0,0.07528121063865001,0.0,-0.12300262591884348,0.0,1.5301752739742938,1.0,-0.16169469212593413,0.0,-0.039735058540856016,0.0,-0.024857706373865085,0.0,0.03347004198931813,0.0,0.8524322292421118,1.0,-1.188480804961074,1.0,-0.5187065638248498,0.0,-0.035981027085313144,0.0,0.37025230258976194,1.0,0.021843931672520966,0.0,0.2029246099266686,1.0,0.18322728249404463,0.0,0.3299813527917195,1.0,0.07282678127947406,0.0,-0.21147899372158463,0.0,-0.03728107843690509,1.0,-0.365643173833206,0.0,0.1635528266962183,0.0,-3.1238224994124266,1.0,-0.2329870056146035,0.0,-0.46621203081318185,0.0,-0.32268339876657137,0.0,-0.007550026695582801,0.0,-0.5279836499077533,0.0,-3.830019114260409,0.0,0.236852683789607,0.0,0.04475518125303779,0.0,29.028091192245483
0.5*CPI,0.5,0.0,0.0,0.0,0.0,-8.936764908919315,1.0,-0.025372331726885022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1545643674850794,0.0,-0.06288138309102465,0.0,-1.318132653626293,0.0,-0.2767470767589373,1.0,0.28685919271615035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2368067081184222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007074972830793058,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019862650842043195,1.0,0.008018710775246518,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09400290750014051,0.0,0.4532433013069692,1.0,-0.05437832682895305,0.0,0.09614894493125803,1.0,0.0,0.0,0.0,0.0,0.13825977561307923,1.0,0.0,0.0,0.0,0.0,0.46913726336734385,1.0,0.20134908341293567,0.0,0.0,0.0,-0.02884250867120386,0.0,0.06690506247772987,0.0,0.1851844812414356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.994444608688354
0.5*CPI,0.65,-0.25132081513598337,0.0,0.01173346936147368,0.0,-0.7742908649443621,1.0,-0.33687850351313386,0.0,0.812635535099048,1.0,-0.6929538979363201,0.0,-0.14036352398372287,0.0,0.0,0.0,-0.655532155341291,0.0,0.012385644932095374,0.0,-0.03197381824691092,1.0,0.5383831712377969,1.0,0.0,0.0,-0.00725615388080314,0.0,0.03190032658358177,0.0,0.00474652514080276,0.0,0.007981838380459294,0.0,0.12805839528689944,0.0,0.025828330898320928,0.0,-0.035274886455539445,0.0,-0.040176663553864955,0.0,0.0,0.0,0.42270718561258036,1.0,-0.040358368698576896,0.0,-0.16479771927924958,0.0,-1.0314369732383852,0.0,-0.45736446857964097,0.0,-0.5828210956271107,1.0,-0.09671757903953448,1.0,0.9317128342466958,0.0,-0.1353707826819175,0.0,0.18117057533211778,1.0,-0.38269982217536835,0.0,0.051879916902407786,1.0,0.06554474771365904,0.0,-0.04243115967520339,1.0,-0.8048120020756642,0.0,0.7104396761035616,0.0,1.5471441813347155,1.0,1.2296721098651062,0.0,-0.006626763198283925,0.0,0.8622080536583212,1.0,-0.013815479509588613,0.0,-0.011316551353957038,0.0,0.0356141589831509,0.0,0.005891630401663406,0.0,0.014695498737239632,0.0,-0.4391085979428624,0.0,0.0,0.0,-0.5814684680666176,0.0,30.47710394859314
0.5*CPI,0.85,-0.10930693598561447,0.0,0.1620178356290296,0.0,-4.897339478619784,1.0,-1.9558502957285953,0.0,-2.308874034987639,1.0,2.0080210245372427,0.0,-0.6081192213023314,0.0,0.11313732632939377,0.0,1.7180516221362154,0.0,1.4325870764345723,0.0,5.639527653430548,1.0,1.598757051242501,1.0,-0.5503335945667231,0.0,0.22373741414642723,0.0,0.12881761678221437,0.0,-0.10511715872024752,0.0,2.213764358531563,0.0,1.199218208477049,0.0,-0.3871753930975217,0.0,-0.9093504387469693,0.0,-0.7163735842173651,0.0,-0.3403054427070913,0.0,1.2845039178480135,1.0,0.41585741652363595,0.0,-0.8528369064279104,0.0,-0.7590480584765089,0.0,0.134915516825032,0.0,2.5027904531154945,1.0,-0.6435320361433128,1.0,10.07511259228309,0.0,-1.5436669168903734,0.0,1.165107455409668,1.0,-2.0107882871957656,0.0,0.4314151668173736,1.0,0.1340233458966793,0.0,0.6076532623985997,1.0,-0.3219980651933838,0.0,2.1023238073554467,0.0,-0.7334690826675399,1.0,-1.766570869413357,0.0,0.371244365313089,0.0,0.3766894957487352,1.0,-0.15007709691235505,0.0,0.6457323971838775,0.0,0.17951462826752618,0.0,1.0640232758772186,0.0,-0.46897439321173806,0.0,1.0409052293277625,0.0,0.04474333517242712,0.0,0.06900957725790136,0.0,29.234849214553833
PFI,0.0,0.0,0.0,-0.0021484765486832202,0.0,-0.01394236035071117,1.0,0.0,0.0,0.0007631510642163164,1.0,0.004729171034533408,0.0,0.00043684728487747293,0.0,0.001538812917743826,0.0,2.1134092069274857e-05,0.0,-0.000657741616588936,0.0,0.0013257099882650891,1.0,0.026121416239714534,1.0,0.07003697777691187,0.0,-0.005943966801133627,0.0,0.0,0.0,0.009143405547224148,0.0,-0.006076417754972141,0.0,-8.601675160946343e-05,0.0,0.0,0.0,-0.020769031849081188,0.0,0.002438850185569663,0.0,0.0,0.0,-0.16955304148377337,1.0,0.0,0.0,-0.0003715799792232133,0.0,0.004895000399987026,0.0,0.0,0.0,-0.025384659005940335,1.0,0.09038572480600493,1.0,-0.001258956627673058,0.0,-0.0001052273253563385,0.0,-0.0052354167767703075,1.0,0.0,0.0,-0.006408972235746546,1.0,0.024928451999507217,0.0,-0.006480108919081573,1.0,-0.002133844544001562,0.0,0.023139400049576153,0.0,-0.04203412830542064,1.0,0.0,0.0,0.0005114260629390799,0.0,-0.005014315196447683,1.0,-0.00031039259048526446,0.0,-0.00037977139732348064,0.0,0.015847838279420046,0.0,-0.004946922526279707,0.0,0.021280713183770672,0.0,-0.0014113900457140005,0.0,0.0,0.0,0.0011641262586756795,0.0,20.626846313476562
PFI,0.15,0.0004201491656719014,0.0,-0.01042185263570694,0.0,-0.030753155798244336,1.0,0.00017920067949717122,0.0,0.05190054884496931,1.0,0.01594220158690085,0.0,-0.0012109606475529944,0.0,0.0031426630703617064,0.0,0.09075648392449587,0.0,-0.004270170191118083,0.0,0.0028857797262613616,1.0,0.030542621783808954,1.0,-0.003952225442082735,0.0,-0.00033923833530558056,0.0,-0.006744047649481999,0.0,-0.00606726139643321,0.0,-0.0548917489337466,0.0,0.007977131840730678,0.0,0.0010105067186341188,0.0,0.025965953569695444,0.0,0.07936414856232865,0.0,-0.012898211954723848,0.0,-0.07011070082215198,1.0,0.04174120648775492,0.0,-0.2360954308692893,0.0,0.002870656692468998,0.0,0.01041804365442367,0.0,0.0356561244237259,1.0,0.003165301600931869,1.0,0.001040215881522144,0.0,0.004895006447068084,0.0,-0.05242423598338597,1.0,0.013849787529256474,0.0,0.11195733049564005,1.0,-0.03732212028077875,0.0,0.22525088562449547,1.0,-0.013076963174697198,0.0,-0.16843242775170708,0.0,0.010660923947606094,1.0,0.027287559074251178,0.0,-0.0007506209241245898,0.0,0.08963928640054597,1.0,-0.009957191919564679,0.0,-0.0012916176681265767,0.0,-0.07675750492464672,0.0,-0.010431824210010987,0.0,0.008000031926469475,0.0,-0.004412368247400877,0.0,0.006103462396131576,0.0,0.02489738863202362,0.0,22.054847478866577
PFI,0.3,-0.005108771084589847,0.0,-1.6222125996279146e-05,0.0,0.07885610554380662,1.0,-0.01820954444541556,0.0,0.04281123267334053,1.0,-0.00011957883041091577,0.0,0.0007560190247417609,0.0,0.0009543291089286754,0.0,0.0027190638432443848,0.0,0.004231521986731934,0.0,-0.3238766880281396,1.0,-0.05219344605201215,1.0,0.01157667701252052,0.0,0.0,0.0,-0.0004427092899135232,0.0,-0.010770476047476052,0.0,-0.0010786954254982106,0.0,-0.02466536644888251,0.0,-0.032848054663471515,0.0,0.0038847549586051855,0.0,0.00024491594342279654,0.0,-0.006736250161328172,0.0,0.10159575499417883,1.0,-0.008454753859396646,0.0,0.0007664566226104341,0.0,-0.001474871643392106,0.0,0.0019856598129415204,0.0,0.06597928307775902,1.0,-0.08056825976262161,1.0,0.003022493009677163,0.0,-0.0005506799342960278,0.0,0.05225777902106188,1.0,0.0015311849445822645,0.0,0.01224539108077849,1.0,0.009546997340262209,0.0,-0.022138958839505563,1.0,0.0015045603085468429,0.0,-0.01010565011433684,0.0,0.0006571649703026594,1.0,-0.009068576166143316,0.0,0.009700793595587953,0.0,0.11176143737177924,1.0,-0.02693432906137261,0.0,0.010890378455826522,0.0,-0.011386896491504928,0.0,-0.001551557711220397,0.0,0.006233048536920194,0.0,-0.3065925149140334,0.0,0.015348463503215726,0.0,0.004421406201117861,0.0,22.478402614593506
PFI,0.5,0.0,0.0,0.0,0.0,-0.18233655118935843,1.0,-0.006494232920111642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0029840488976944357,0.0,-0.0118046451747702,0.0,-0.07202953778678989,0.0,-0.008622754504695962,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022620428007655846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004009162621478879,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00031779488127270383,1.0,0.0004543838857280491,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005325982298646892,0.0,0.028658348109161125,1.0,0.007461476003474132,0.0,-0.11314373627108054,1.0,0.0,0.0,0.0,0.0,0.0066597240235211075,1.0,0.0,0.0,-0.005005567190202953,0.0,-0.001412647790147048,1.0,0.011405998046065235,0.0,0.0,0.0,0.007195635443466131,0.0,0.003790847380141571,0.0,-0.0117438224016162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.28239631652832
