method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,tr_time
LOCO-W,0.0,0.31946300400045147,99.76757682694127,0.04685708689760093,59.613625223381035,0.14807575845426701,36.06737230829733,0.29429616512078294,49.72816069265628,0.19818880388046,28.287290631348675,0.31718135819538396,36.55156424043634,0.25766214325609693,93.62553284364141,0.051372444848470145,-54.905793834021395,0.8109540838991991,120.55689349864394,0.022542078499979246,-86.15578752433156,0.9220586224465964,-111.9730300031368,0.980019039269392,13.826035022735596
LOCO-W,0.3,0.3220862424405898,-48.51261713642233,0.7843221177295259,39.50962958274151,0.270472228179644,101.49847715761396,0.057606307861256534,-17.426012784799717,0.6158413946169079,68.17836760593867,0.12258475161297011,-148.62898505830722,0.9970839054942374,-58.89274911465704,0.8505231883368758,12.951783631549036,0.41193698114870914,-12.48501957019596,0.5743761586360281,-10.365031158398608,0.5696684289246876,-0.987825993688923,0.5067350562446615,12.977116584777832
LOCO-W,0.6,0.3218445926771091,-78.97911915837264,0.919139890328802,31.148446135439027,0.2982807132962133,101.21276363899536,0.06635388558885158,-66.91025021186675,0.8507860880589112,-62.72477785742423,0.8615174549739473,-23.010554171087655,0.644181494608427,-17.938053637199715,0.6201251822786615,38.53970683012698,0.22837105561611426,32.47041436233415,0.29718503946960606,61.13507707122924,0.15892982345992857,9.805729641738342,0.43753314913915176,13.192516565322876
LOCO-W,0.9,0.3260398501982724,10.108459813385856,0.4302056143416203,-78.60819608579526,0.9097507061025099,171.75264940855413,0.0029817803438210166,49.84798528861877,0.2197950709610479,12.980843903449218,0.4011928859534881,-51.41771286903754,0.8138378849174916,51.697506751386065,0.21814067114810798,50.963326417842964,0.2128449058521279,-38.247784101359514,0.7420719706867945,70.41504641847165,0.10915666596024565,48.86898308791,0.2034635139330152,13.248205661773682
CPI,0.0,0.31946300400045147,25.197493890977512,0.20012388540456405,61.63347330827082,0.006229183483977506,560.1753526315788,0.0006270185215638947,-53.00183345864684,0.6823376652068327,-2.0618637218042295,0.5414334096478255,0.10538355263179255,0.49828363181984703,-48.64914360902253,0.8493964741965191,-21.341553571428676,0.9852219812334801,497.92898251879706,0.00886448300962539,-12.75736278195518,0.66534439370734,44.64688590225546,0.15192289975338263,14.118322134017944
CPI,0.3,0.3220862424405898,25.93827922932337,0.18268548518030708,62.32633298872156,0.006745870879916727,543.4033881578948,0.0006805792569996316,-38.1553863721806,0.6313591091581325,-6.158831954887319,0.6245412209103708,-3.19822979323294,0.5504285380420213,-52.33243627819593,0.8722872011545575,-16.96430479323317,0.9604155981981304,504.7144083646617,0.008189142263384592,-3.6906970864663435,0.549538691581084,41.245819736841895,0.16221562253629634,3.2841696739196777
CPI,0.6,0.3218445926771091,25.238782518796597,0.1935932896555848,66.05460310150352,0.0048714357868348945,539.2271120300757,0.000647261744321118,-46.731337875939744,0.6592097884380702,-7.191331484962575,0.641467969433065,-1.1050151315789662,0.5176788679671901,-53.25029868421075,0.8795359167291135,-12.872145582706935,0.8947011762954409,484.49232105263127,0.010127045607902032,-12.931689943609172,0.6675827047393418,31.94701296992457,0.22377938748177267,3.145219564437866
CPI,0.9,0.3260398501982724,30.93928637218073,0.1415534227120101,64.93806578947374,0.006091395529602261,563.6674977443606,0.00043633845149956607,-53.23634859022559,0.6825904402495273,3.515571522556229,0.43633800856023497,1.5539449248117307,0.47384624240125944,-62.28515206766929,0.9019585914651218,-16.963808082707146,0.9492730852588006,533.8369979323304,0.0054308102322067,4.859448402255339,0.4388505428330901,43.55640469924788,0.1668801458651819,3.294550895690918
CPI_sqrt,0.0,0.31946300400045147,25.197493890977512,0.24395994641138657,61.63347330827082,0.02352686115240509,560.1753526315788,0.0009288817475509124,-53.00183345864684,0.6731627238503011,-2.0618637218042295,0.5313758711028824,0.10538355263179255,0.4986379726175114,-48.64914360902253,0.8187313041484667,-21.341553571428676,0.9064136732860288,497.92898251879706,0.010684787233331432,-12.75736278195518,0.6375802752228559,44.64688590225546,0.18495753622152705,9.863528728485107
CPI_sqrt,0.3,0.3220862424405898,25.93827922932337,0.2294974490790524,62.32633298872156,0.024286568490730128,543.4033881578948,0.0010115304500320243,-38.1553863721806,0.6246278563234078,-6.158831954887319,0.5944274197848036,-3.19822979323294,0.5403001147626758,-52.33243627819593,0.841086387613211,-16.96430479323317,0.854949321733508,504.7144083646617,0.009909238509534565,-3.6906970864663435,0.5408078907521855,41.245819736841895,0.1962216202058179,3.224705219268799
