method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,imp_V12,pval12,imp_V13,pval13,imp_V14,pval14,imp_V15,pval15,imp_V16,pval16,imp_V17,pval17,imp_V18,pval18,imp_V19,pval19,imp_V20,pval20,imp_V21,pval21,imp_V22,pval22,imp_V23,pval23,imp_V24,pval24,imp_V25,pval25,imp_V26,pval26,imp_V27,pval27,imp_V28,pval28,imp_V29,pval29,imp_V30,pval30,tr_time
LOCO-W,0.0,0.8098058451876513,0.0008877068770164041,0.25602390744850845,-0.00011835928105630348,0.5337773198174224,-0.00013037188718880303,0.5334869141490266,-0.00038304550184858167,0.604691399534474,-0.000566623337113837,0.6539926152665919,0.00017644721041009846,0.4496283439772587,-0.0008035102291932816,0.6953869420052142,-4.879032997960875e-05,0.5140561370727059,-0.0007519687530725299,0.692843359753206,-0.0012136599731881101,0.802850231968814,-0.0006424952666750428,0.6779133495718314,0.0010190080752829915,0.2397091590410214,-0.0014747275156002876,0.8408880436286423,0.0011270451317554814,0.20501435731767437,-0.0005265731930661933,0.6570984328146602,-0.0007823107962995777,0.7035074266720792,0.001849919775663648,0.08603012665864229,0.0012468787505024086,0.17079234448069514,0.0008531076216535107,0.27433529547842905,-0.0006790789569837403,0.6721481848772608,-0.0008806228082108747,0.729874928842966,-0.0008583427470464011,0.6963888933048163,0.00037122305702250597,0.3857265724101745,0.0007019924884242543,0.32368175954407064,0.001301802068631519,0.15831231974253057,-0.00141188323485378,0.8295702163267602,0.0009141573339425328,0.2630968014614353,0.001643332374311658,0.14735131134725699,-0.0016297941186133125,0.8784333518605809,0.0010142708568787956,0.21674668244971418,0.0005472745517937399,0.35489551214752346,54.53212594985962
LOCO-W,0.3,0.8088690715799032,0.001905488289064016,0.07651712321831117,0.0009072320810670387,0.278611285646715,-0.0009239624688307457,0.7304161022969233,0.0010772845048090316,0.22026728014351105,0.0011201324405724108,0.2023799568623028,-0.0016576578593396564,0.8856219560348775,0.0011282160896659422,0.19536413954994813,0.0001793797640617517,0.44957384139254264,-0.001001459311206588,0.7747833517618152,0.0007811081336589166,0.3005689426052873,-0.0002127035467340194,0.5577442902842077,-0.0009510564690402783,0.7620368173617966,0.0013715703640737955,0.18132486351024601,0.0001462315496507601,0.4580356285366258,-0.001282538639153857,0.8115110704684169,0.0010337766785258914,0.24364095526034668,-0.0006617959209272514,0.6870178903872406,-0.0012030257073040618,0.7697518325027244,-0.0010988590862848798,0.7747704875644663,-0.0008384920850243862,0.7289257793108027,0.0006794255419388787,0.3304834835611057,-0.00037132333345470445,0.5986967013101784,-0.003154474479078733,0.9808533910657292,0.0007464383730412923,0.3111292354196199,0.0014737181521829012,0.1604833250357559,0.0005489850151530237,0.3579431281115353,0.0026874687361665857,0.033397485566144414,-0.0013427285693314416,0.8460456316468039,-0.0006248420835812746,0.684128241252339,0.0030436577105103836,0.011682639486673807,0.0004901425541425187,0.3661326583324559,53.383931398391724
LOCO-W,0.6,0.8086905152845036,-0.00043487871325001984,0.6195390217776452,-0.0012902583229438274,0.8232750430358282,-0.0004395487851439567,0.6235737136991567,-0.001772835136282455,0.9086736431780441,0.0005306627436186648,0.34798410422353077,-0.001928452506703076,0.9047847668581096,-0.0011051297744292961,0.7387869638954911,-0.0004383390724375795,0.615633883006298,-0.0017650313992996385,0.8882484562969837,0.0008477500805175789,0.2637584089741456,0.002232090338661587,0.0645979925273027,0.0033141853629642896,0.01092415240377309,0.0005313609388923455,0.3383371617288812,0.000474586784635739,0.37629010403892316,-0.0011529949706316372,0.7962790197051479,0.0005559394571065376,0.3381887390514189,0.0003502510222997018,0.4039533843092148,-0.0012772608422217798,0.8515570478478053,-0.0002628151688071666,0.5696222410962464,-0.0012635489919931684,0.8206387826137492,-0.0016590423912347025,0.8628758357390864,0.0016609137982477584,0.14276089475230502,-0.0007275929186804909,0.6832858316514877,0.002024597060457692,0.09363817176046463,0.0004048446470396,0.3920242164537113,0.0003833937609556524,0.37985387750131183,0.0005924333388566093,0.3381170830845466,-0.00024784647501946254,0.5662789263079772,-0.001548043035664402,0.8624702631118584,2.73067755877787e-05,0.4921654160002129,-0.0004152840830500297,0.6115706460163833,53.52603793144226
LOCO-W,0.9,0.8084472646791767,0.00020729127204337195,0.44887927887812507,-0.000922311661637265,0.7513594817043532,-0.0006689282862279305,0.6759349141588513,0.00015925328337297132,0.45866139616716495,0.001082127991402141,0.25029527147544384,-1.8505138512675918e-05,0.505507219765776,0.0004001523957172475,0.37676307222699845,0.002014710634297407,0.07712366214537092,0.0014649990113657994,0.16022257679293483,0.0011955833765552937,0.20856115271848052,-0.0008218433136867202,0.7314498639042298,0.0002505286082241953,0.43279078675313054,-0.0006387375892863688,0.6600645719025886,-0.0011273587974288668,0.77462448843004,-0.0009380933376201734,0.7611020811252664,0.0002444791619537026,0.4280269903922971,-6.706373409834456e-05,0.5173719938248408,-0.0007656921235594458,0.6980129729187096,4.441201673006854e-05,0.48718746261062273,0.0013221124213645857,0.17716699220263576,-0.0011951891685878444,0.7922983299519153,-0.0019035732855432425,0.8976642028516394,-0.0014084931188020789,0.8180800611509471,-0.001015202446021619,0.7988949497861507,-0.0008118067439901333,0.7180414060746527,0.00192124910637648,0.06446946315370017,0.000650883070199635,0.33289792977965793,-0.00011416130453309516,0.5388094418262708,-0.000904661968221078,0.7545596108094352,-0.0016012781200519528,0.8875067198353079,0.0004798837532334032,0.35603437785198144,53.31401324272156
CPI,0.0,0.8098058451876513,0.0,1.0,-0.0003748538011695904,0.9123177804126175,-2.558479532160235e-06,0.8420543376327287,-0.00022032163742689848,0.8434589468752798,2.1710526315794204e-05,0.4412029184157752,-3.640350877192819e-05,0.7368800315588163,3.457602339181423e-05,0.19105591785640752,-0.0003786549707602317,0.5627082946639383,-4.232456140350685e-05,0.6803943085303709,7.719298245614445e-05,0.06230156485725484,1.418128654970957e-05,0.32307285820718,-5.263157894736317e-05,0.7329962674548989,-2.4195906432745995e-05,0.5261646690717022,-0.0002170321637426885,0.8301979477208077,-0.0001286549707602315,0.9074130869516528,8.9912280701758e-05,0.03421968015115594,2.660818713451016e-05,0.35500117157835476,7.67543859649146e-05,0.233983934962404,2.273391812865691e-05,0.2965473291117764,5.994152046783635e-05,0.22782835759212477,7.646198830409817e-05,0.31424090275009775,0.00131483918128655,0.0486105225441321,0.00016878654970760645,0.3438189062070393,-0.00020745614035087498,0.6555558785910366,-0.0002644736842105262,0.820311451733421,-0.00012390350877192896,0.8030232789982219,0.0006244152046783642,0.08438871885243515,-0.00029561403508771705,0.5697740404695814,-1.7616959064326032e-05,0.5567154822724175,0.0001239766081871374,0.2978847978599374,-2.8070175438599243e-05,0.6483981215925134,18.49096131324768
CPI,0.3,0.8088690715799032,0.0,1.0,-0.00014890350877192968,0.7907789559985526,-2.5584795321637044e-06,0.8420543376330569,-2.7046783625736537e-06,0.5307926173678044,-1.9883040935673307e-05,0.5482817998644498,-4.634502923976658e-05,0.8006835350997492,3.194444444444208e-05,0.20126907210762623,-0.0004970029239766104,0.5814358624961472,-4.502923976608397e-05,0.6885005058520096,7.807017543859374e-05,0.060561399980863476,-8.55263157894387e-06,0.6686674017460639,-5.124269005847906e-05,0.7289306209571524,-3.786549707602421e-05,0.540754085669309,-8.647660818713807e-05,0.6886580559728893,-9.173976608187195e-05,0.8276173763505243,8.252923976607984e-05,0.050098829790754175,2.7923976608189294e-05,0.3489999696833485,7.361111111110763e-05,0.2652473654581358,2.3318713450293238e-05,0.29359920622107827,8.706140350877092e-05,0.1194617708135583,-8.976608187134805e-05,0.6954707620985926,0.001264692982456142,0.04961301609862043,0.00026118421052631624,0.27334998691465584,-0.0003081871345029276,0.755222470389505,-0.00019766081871345,0.7344589517851765,-0.00012741228070175387,0.8091289540227422,0.0006485380116959087,0.07271560411220275,-0.0005391812865497073,0.6247335376735623,-3.296783625731173e-05,0.6063438632310031,0.00013552631578947483,0.2989942415481105,2.0029239766083257e-05,0.3031631462628641,7.325814723968506
CPI,0.6,0.8086905152845036,0.0,1.0,-0.00016396198830409547,0.8085607758142672,-2.558479532167174e-06,0.842054337633385,-2.894736842105547e-05,0.7901241652418838,-1.929824561403698e-05,0.5467973481918744,-4.576023391813025e-05,0.7984713864327648,3.267543859648836e-05,0.19695107509568938,-0.0004440789473684169,0.5726239772623369,-4.4736842105264074e-05,0.6870377255393026,7.850877192982358e-05,0.059532200945226814,2.2807017543858416e-05,0.2232754578261697,-5.0804093567252684e-05,0.7273366679315871,-3.8669590643278934e-05,0.5409731736871611,-9.773391812865559e-05,0.7110568944363717,-9.853801169591031e-05,0.8326795090150556,8.194444444444005e-05,0.051892162128122275,2.8070175438595774e-05,0.3481865690415713,7.229532163742503e-05,0.26953913974928156,2.4195906432745995e-05,0.28673024952679416,8.633040935672118e-05,0.1217325322802546,-6.264619883041347e-05,0.6406045028194073,0.0012779970760233884,0.0497947037205095,0.0002199561403508736,0.30301872304789135,-0.00014656432748538437,0.6433559247665206,-0.00020577485380117097,0.7424090962658771,-0.00012960526315789617,0.8108189388710004,0.0005479532163742695,0.07473949756840301,-0.0005149122807017598,0.6192597209325378,-1.4254385964914545e-05,0.5456221588965608,0.00013362573099414896,0.30057934688328347,1.2499999999998623e-05,0.30853452862371383,7.646118402481079
CPI,0.9,0.8084472646791767,0.0,1.0,-0.0001661549707602343,0.8103464763365984,-2.558479532160235e-06,0.8420543376327287,-3.0263157894734605e-05,0.8692910007337948,-2.039473684210466e-05,0.5494444764711438,-4.576023391812678e-05,0.7984713864327471,3.282163742689831e-05,0.19613453053196783,-0.0004432017543859641,0.5724816599523966,-4.4590643274854125e-05,0.6864208288482345,7.865497076023353e-05,0.059367379494895935,2.2807017543865354e-05,0.2232754578261006,-5.109649122806911e-05,0.7283248360442374,-3.172514619883063e-05,0.5336279872304645,-9.839181286549689e-05,0.7122559248439947,-9.883040935672327e-05,0.8332619271373782,8.179824561403357e-05,0.05237678212924058,2.8070175438595774e-05,0.3481865690415713,7.22953216374285e-05,0.2695391397492718,2.4342105263159414e-05,0.2858333404895924,8.633040935672465e-05,0.12173253228024511,5.59941520467816e-05,0.38482570413954953,0.0013015350877192966,0.04663545963178534,0.00018852339181286634,0.3263591921210426,-0.0003168859649122814,0.7484089812907595,-0.00020562865497075755,0.7422541500554121,-0.00012960526315789617,0.8108189388710004,0.0004912280701754382,0.08963477043096107,-0.00042858187134503165,0.6012410602365656,-1.4254385964911076e-05,0.5456221588965499,0.00013362573099415243,0.30057934688327875,-1.4985380116957353e-05,0.8420543376330327,7.284305810928345
CPI_sqrt,0.0,0.8098058451876513,0.0,0.5,-0.0003748538011695904,0.5040825499723545,-2.558479532160235e-06,0.5000280750595658,-0.00022032163742689848,0.502403379504515,2.1710526315794204e-05,0.4997627044205565,-3.640350877192819e-05,0.5003988657145475,3.457602339181423e-05,0.49962097152242285,-0.0003786549707602317,0.50389809347372,-4.232456140350685e-05,0.5004633235273238,7.719298245614445e-05,0.4991540462189958,1.418128654970957e-05,0.4998445051572485,-5.263157894736317e-05,0.5005762429107011,-2.4195906432745995e-05,0.5002628627496785,-0.0002170321637426885,0.5023669228664296,-0.0001286549707602315,0.5014081095130095,8.9912280701758e-05,0.49901463149111613,2.660818713451016e-05,0.4997085725496026,7.67543859649146e-05,0.4991601329497388,2.273391812865691e-05,0.49975080718602144,5.994152046783635e-05,0.4993436462948297,7.646198830409817e-05,0.4991645302382376,0.00131483918128655,0.4858817217383563,0.00016878654970760645,0.4981688704502156,-0.00020745614035087498,0.5022446393926979,-0.0002644736842105262,0.502879481559712,-0.00012390350877192896,0.5013543130207462,0.0006244152046783642,0.4932323992914982,-0.00029561403508771705,0.5031006441963631,-1.7616959064326032e-05,0.5001926758286941,0.0001239766081871374,0.4986481604442435,-2.8070175438599243e-05,0.500307422056425,18.3778555393219
CPI_sqrt,0.3,0.8088690715799032,0.0,0.5,-0.00014890350877192968,0.5016258480832612,-2.5584795321637044e-06,0.5000280750595658,-2.7046783625736537e-06,0.5000296528769501,-1.9883040935673307e-05,0.5002172193493039,-4.634502923976658e-05,0.500507828186815,3.194444444444208e-05,0.49964980588460717,-0.0004970029239766104,0.5051139075011942,-4.502923976608397e-05,0.5004929136334497,7.807017543859374e-05,0.4991444354923771,-8.55263157894387e-06,0.5000938069075508,-5.124269005847906e-05,0.5005610452601614,-3.786549707602421e-05,0.5004113530046806,-8.647660818713807e-05,0.5009444368700308,-9.173976608187195e-05,0.5010040790642629,8.252923976607984e-05,0.49909556503978336,2.7923976608189294e-05,0.499694164741507,7.361111111110763e-05,0.4991947836979996,2.3318713450293238e-05,0.49974439994525405,8.706140350877092e-05,0.49904651866044597,-8.976608187134805e-05,0.5009803681249875,0.001264692982456142,0.48641057230912044,0.00026118421052631624,0.49716752507724415,-0.0003081871345029276,0.5033410501658411,-0.00019766081871345,0.5021504727897589,-0.00012741228070175387,0.5013926529237549,0.0006485380116959087,0.49296939492762487,-0.0005391812865497073,0.5056531165716442,-3.296783625731173e-05,0.5003605805237445,0.00013552631578947483,0.49852316447747147,2.0029239766083257e-05,0.49978043173235887,7.315990209579468
