method,corr,r2,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,tr_time
LOCO-W,0.0,0.4722168844151322,-1286.8767261767177,0.9999997927966066,121.51955392303917,0.2819083296208509,376.6266810831632,0.006480172251103311,664.3661876720945,0.003932194266452638,362.4681543888557,0.059055110111283504,24.987226298817323,0.45770872614232505,-2817.2055249330238,0.9999999999999998,-1331.9025507271547,0.9999999999988457,-857.5462733147782,0.9984234591250818,-483.8659750422216,0.9786207545110058,979.3823547083081,1.6455343145871382e-06,57.6624436378479
LOCO-W,0.3,0.4803695310065125,-287.4205752759641,0.875903828091579,-508.7466793425458,0.9729874836633828,-608.1708114699742,0.984692361176825,-986.3378583865357,0.9999968183748302,62.204060509749944,0.3971241691537212,641.7961568254274,0.0027023566885939765,-1389.0348943549247,0.999994081245433,-739.9030115628598,0.9992666315081588,-763.6452951345711,0.9999321465834264,876.5429913218338,0.0002493433570895931,-1217.6469055269126,0.9999999224599777,57.30377793312073
LOCO-W,0.6,0.48782811141439775,1067.563524232384,4.794268047003669e-07,-927.1951168111365,0.9998439698258965,2395.073295031779,0.0,-1313.9126433346057,0.9999969096862329,1121.1440117542418,5.371231015627309e-06,1024.5319125433764,3.5406152698591598e-06,-148.24259860838697,0.689844134935373,-1439.2145757365363,0.9999999932903356,-1204.578852596495,0.9999995136513108,1461.6759122797735,1.5005875764195764e-07,-262.0746591410793,0.862083901589645,57.4788601398468
LOCO-W,0.9,0.4844636859173824,-47.13850839518563,0.5628360649401265,197.69087595614684,0.17762051070633933,-1699.5970262868905,0.9999999999998319,1505.639683353633,4.3779195824100725e-09,-270.9186456191832,0.8819369387654561,1015.2689184441411,3.521630420955102e-05,-499.38296396331197,0.9931032390644209,260.14978632562065,0.08008054412057586,505.4957435012131,0.006355658735741954,-997.8521447282718,0.9999969621198977,1028.3545671043908,0.000119767066250831,59.53759813308716
CPI,0.0,0.4722168844151322,-55.25745822367935,0.9300577410687022,99.41196048242796,0.060760911428579666,759.5361591583139,6.610645560753309e-05,171.72701678051635,0.021526504571169745,6.934363552995592,0.3438678988714482,16.339406199455425,0.3030448137442731,73.17716121759895,0.1268508624654982,12.000503252556655,0.2190007036071549,551.9012918524106,4.407572510050708e-05,34.92369342670577,0.28446026194843665,-5.064227791800704,0.5598113798336234,17.796881198883057
CPI,0.3,0.4803695310065125,-47.341913307120194,0.9149672243311198,89.02147451842802,0.06463287395232804,742.7745592762897,8.095709686450995e-05,184.33995193631904,0.01343322663824378,6.671132611053736,0.28509839402107195,13.677027601800773,0.30522929087813533,76.85737286867197,0.10521253770727756,6.766844509775183,0.34605964383196375,567.6914955759996,3.3507413119418194e-05,29.60079745304688,0.3035000451633202,17.50009293314065,0.2993343291192704,5.49927020072937
CPI,0.6,0.48782811141439775,-58.17225410176047,0.9463322766262041,87.02713052337162,0.06228392697602163,729.4590161365929,8.141951480173304e-05,202.21785816052875,0.006791564097687934,5.493029108026349,0.3016890370623222,5.152643598093164,0.4046017270703405,63.836508788718675,0.13119220858592384,5.425347090622836,0.3510419259189266,598.488662855457,4.513005634236555e-05,32.1723607223073,0.2870280174490862,8.02047464002544,0.3908196748303817,5.60689640045166
CPI,0.9,0.4844636859173824,-72.98778882611191,0.9726282374699475,85.38934067731998,0.06906991083626995,740.7654326199136,5.8984583727486645e-05,195.00049202902233,0.00832863424333847,0.17542143386822318,0.4938971596293723,11.897937957951854,0.29851580872374395,55.79908364540552,0.15377453470281005,8.963283656743442,0.26524582148259995,616.5561782327891,2.2833860889633343e-05,13.604597425797692,0.40903813301534075,-12.19688962164446,0.6776546403034495,6.1618945598602295
CPI_sqrt,0.0,0.4722168844151322,-55.25745822367935,0.894391909982773,99.41196048242796,0.08063845832760025,759.5361591583139,0.00010932419727163246,171.72701678051635,0.0304774688571177,6.934363552995592,0.3864036975975191,16.339406199455425,0.3354454780878324,73.17716121759895,0.1509324722598655,12.000503252556655,0.29473365211551483,551.9012918524106,9.15585631030863e-05,34.92369342670577,0.30396767428811533,-5.064227791800704,0.549856059514742,15.253046035766602
CPI_sqrt,0.3,0.4803695310065125,-47.341913307120194,0.8743230398165356,89.02147451842802,0.08688759072950675,742.7745592762897,0.00013279376261901313,184.33995193631904,0.02032248413989326,6.671132611053736,0.359315696265741,13.677027601800773,0.34204846764356434,76.85737286867197,0.12965447589975332,6.766844509775183,0.3883334355474254,567.6914955759996,7.067157640883832e-05,29.60079745304688,0.32266930284350603,17.50009293314065,0.330938416508889,5.56229567527771
CPI_sqrt,0.6,0.48782811141439775,-58.17225410176047,0.9124920019067491,87.02713052337162,0.08502522559406728,729.4590161365929,0.00013463249332704174,202.21785816052875,0.011308928743826994,5.493029108026349,0.37569620859402075,5.152643598093164,0.4272706963152599,63.836508788718675,0.15822752672101675,5.425347090622836,0.3978295326503852,598.488662855457,8.862350610079252e-05,32.1723607223073,0.3075994908384947,8.02047464002544,0.4111251601213527,5.571388244628906
CPI_sqrt,0.9,0.4844636859173824,-72.98778882611191,0.9485071104178386,85.38934067731998,0.09227784900814517,740.7654326199136,9.980977135941152e-05,195.00049202902233,0.013533619315159078,0.17542143386822318,0.49616180673669985,11.897937957951854,0.342198997083405,55.79908364540552,0.18193196530388717,8.963283656743442,0.335166802564565,616.5561782327891,4.766526370219991e-05,13.604597425797692,0.4182364829501159,-12.19688962164446,0.6432687626721019,6.2252891063690186
CPI_n,0.0,0.4722168844151322,-55.25745822367935,0.9269491854196414,99.41196048242796,0.062466182557994764,759.5361591583139,6.918962881615918e-05,171.72701678051635,0.022252315805919378,6.934363552995592,0.348744996784573,16.339406199455425,0.30632697528807773,73.17716121759895,0.1290162538260906,12.000503252556655,0.227459664604526,551.9012918524106,4.715018814524772e-05,34.92369342670577,0.2862946037731817,-5.064227791800704,0.5587939685020935,15.26494550704956
