method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,imp_V11,pval11,tr_time
LOCO-W,0.0,-0.019742044123399007,0.9660677959268743,0.001727078664787942,0.4373395491337866,0.01936011940321948,0.042197643114125216,-0.02880849611024724,0.9970714557948133,0.0030590705918720628,0.3850730836187656,0.002635096518968148,0.39896253902405376,0.002056315746411051,0.4225705729070107,-0.016690589589877416,0.9441335843402839,0.0010863450437808109,0.454027461963621,0.041726740687904385,0.00010574762824233641,-0.00817574339735113,0.7779530205438037,-0.014722045771461273,0.9300576189400225,11.7111074924469
LOCO-W,0.3,-0.008233825087967552,0.7715158059396507,0.020268612130088993,0.023816184329651602,-0.011317828513338981,0.8533433492445988,0.012589725323456312,0.10289863753153894,0.011427208965104243,0.1443625548940748,0.010051919197145381,0.18099700795280116,-0.0069888790813375885,0.7504143589832536,0.01924070500567407,0.038834470125883924,0.004246683675365267,0.3306178518796289,0.005511761652789137,0.30583764796203505,0.01626213530813672,0.05728974570070011,0.0112251120382072,0.16653914278876547,11.678575038909912
LOCO-W,0.6,-0.004484117422684477,0.665267020049352,0.02739393873022202,0.008224960440008755,0.013494374195460351,0.09380610061697636,-0.0020224086700503237,0.5790096697812946,0.018971766498712572,0.041511235122939305,0.014320502570937997,0.08950837611067297,-0.004615599616251929,0.6612869527559715,0.011965164757159,0.11026622640995698,-0.01123291400269405,0.8708101037074394,0.0004620645507296952,0.4828138965130644,-0.008828407582351558,0.8004764701290643,0.0028606980984166603,0.39111085481788466,11.786309957504272
LOCO-W,0.9,-0.005419896247998881,0.7031911262787729,0.03174574288500147,0.0011690412268267059,-0.020336581723234135,0.9731453898524121,-0.0034344665579866857,0.6376777550750691,-0.0073531646836904625,0.7562547450324281,-0.003934776886389558,0.6558905216708246,-0.004928270156419888,0.6904499267356409,0.005767793477978142,0.2899043440242566,0.026442982723561152,0.007792483889857205,0.022659009706010737,0.015189168702059996,0.003831212622666904,0.36025390813387337,0.013038513295282298,0.1079789169373897,11.760376930236816
CPI,0.0,-0.00032156418148185373,0.5275392290177139,0.015209193977196445,0.015038117052272858,0.003077913985262387,0.12358066301262827,0.007406695930523066,0.026285897399302025,0.0064357437836611575,0.0618151371444848,8.265503167151356e-05,0.4850770947188348,0.01520371304299778,0.028323597669700013,-8.133157256162704e-05,0.5089444014719434,0.0023203204190167526,0.18077328555529182,0.03241910263858028,0.0002201495094395714,0.07957268306407494,2.1995153482299477e-08,0.00044661977781601525,0.44845079687987066,14.253502607345581
CPI,0.3,0.0017469453055468376,0.3404219424451769,0.017837376381731107,0.007034051158742812,0.0037271999866213545,0.07323371571773735,0.007996025479809904,0.052781002997617,0.007839174831556106,0.030525644063413033,0.00741673507091084,0.0006863598546712947,-0.006024429677843501,0.9086505690455295,-0.003385539827455236,0.7881868313268195,0.002328767878914867,0.223697296297182,0.04303292944336032,1.0490901519562987e-05,0.07983429621347105,5.252526938599708e-10,0.0028482631759984556,0.28272459817005774,3.695236921310425
CPI,0.6,0.00024104771572802663,0.47547322580735357,0.015219301133566066,0.019060572218101902,0.0026240328057615114,0.19712927914702333,0.0031827240857880967,0.2181900064664858,0.008957603221197458,0.016166998151893496,0.0014986679235713674,0.17227925862367105,-0.0015115489215044298,0.6402697037167153,-0.0026169970538017506,0.7471532058024775,0.003267080852076415,0.1969232983416917,0.042829566323012214,2.76067787108286e-05,0.08851445998564264,1.9310965402867252e-10,0.0027591656775146634,0.2687728853182216,3.7174954414367676
CPI,0.9,-0.0038401885264746083,0.8593145422122885,0.014512298250624112,0.02174667296378413,0.0022546300485916937,0.22913269185062496,0.010193045981251009,0.020360238399000894,0.008078499091075969,0.036010411108723744,0.0013761133228902822,0.14887155264711305,0.0018439991747543627,0.19889545748939325,-0.000592171268217534,0.5601466235448124,0.0018180435041830478,0.27926933498292095,0.039842766068812735,2.8533551536268983e-05,0.09304402144756282,3.1483843120331626e-09,0.0027976625039829728,0.054203949550418615,3.745011568069458
CPI_sqrt,0.0,-0.00032156418148185373,0.5031861071716515,0.015209193977196445,0.36060249342764217,0.003077913985262387,0.4679479911154165,0.007406695930523066,0.42549944719112187,0.0064357437836611575,0.435752403257335,8.265503167151356e-05,0.4991280764480135,0.01520371304299778,0.3636109349649903,-8.133157256162704e-05,0.5008269527739201,0.0023203204190167526,0.47575220158593395,0.03241910263858028,0.234806596483996,0.07957268306407494,0.05627460553362159,0.00044661977781601525,0.4954380237960658,10.619950532913208
CPI_sqrt,0.3,0.0017469453055468376,0.48251951294219303,0.017837376381731107,0.33868696223788197,0.0037271999866213545,0.4611120013384289,0.007996025479809904,0.42183880388369177,0.007839174831556106,0.4219163772819792,0.00741673507091084,0.4224791024654839,-0.006024429677843501,0.5596658417420337,-0.003385539827455236,0.5338605653669816,0.002328767878914867,0.47599215538530254,0.04303292944336032,0.17331773158454045,0.07983429621347105,0.05055115313691607,0.0028482631759984556,0.47201103538876804,3.7169065475463867
