method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,tr_time
LOCO-W,0.0,24.250783888826867,0.47193837711656694,27.788923802569702,0.4672889601523289,326.80195496106836,0.17831819723837894,263.968403706695,0.21385640452194532,-350.85767917523555,0.8432003064252938,-30.67556179046012,0.5359033406620897,-129.46372556451902,0.6387148909617217,282.8600148789464,0.20622698571572073,-91.56447183660931,0.6008834064426488,-213.57662775723165,0.7331812645305393,-1055.2824175767057,0.9985349762451234,0.5379867553710938
LOCO-W,0.3,-243.29250629440915,0.7787871026796962,-2.6577166564226995,0.5031182311593059,471.19100935690955,0.08445179054905338,94.05492619752083,0.3944468050571731,-105.4936505545349,0.6272528079005611,-539.8193574250358,0.9513831675598029,-291.2824053551413,0.8067391377225088,-217.07824287074646,0.7325592051332406,156.16288171212244,0.32391881484141627,167.41858721681453,0.3118589453515155,0.7257325686728557,0.4991476920554099,0.5326919555664062
LOCO-W,0.6,-571.509766455312,0.9456405604342426,-385.1076554512179,0.8707041866798784,628.6499318075932,0.025109715730984195,-338.5645694235445,0.8382711252648191,227.35063565666488,0.25299160466058335,237.96531765704205,0.22516118044296718,-431.1520766503195,0.8891924249421563,-14.120861375476265,0.5173618132524269,-809.2733538030918,0.9955528035041165,-915.1632076757857,0.995037630694228,816.3379427117292,0.005160840425355251,0.5287458896636963
LOCO-W,0.9,-10.698604425044131,0.5119807797827878,-188.31588469144606,0.7091868958066584,499.8717736362141,0.07039958443241867,-438.64936870264523,0.8964380727020267,-509.67195737548974,0.9326075062604294,65.73186291997558,0.42042859414930533,-52.60751542514814,0.5638566302547069,256.036501252802,0.2265575517775591,274.4529191311683,0.21488619253901575,389.8316997876583,0.1261297367444173,-137.49564488345166,0.6557408053026815,0.5221347808837891
CPI,0.0,-8.016254237677458,0.8102257174729959,106.08976811871685,0.004020868872929251,558.710131427347,7.283147195456193e-05,128.66210376661957,0.062476890150827906,69.40928913874791,0.03810713304261135,0.0,1.0,20.691140882975333,0.1783478469164278,4.1489997084891,0.44716640528442647,456.79024310549585,4.5437464641813576e-05,8.371408676452347,0.2531666121298589,-26.98822165399997,0.9176105192205617,13.007743835449219
CPI,0.3,-8.013444066477405,0.8101487307779143,106.00162732275317,0.004028770223711646,558.3513476105093,7.30791225112839e-05,128.60806511915098,0.0625100080548689,69.12569033408022,0.039846317807646,0.0,1.0,20.520201409823585,0.17911367956943747,4.349506820403121,0.4445542053701216,457.70934052487587,4.482841692023173e-05,8.503208762719396,0.2512271489457931,-27.211465716355406,0.9199884919478859,0.9915571212768555
CPI,0.6,-8.010329516007914,0.810064290940273,105.88167831040869,0.004039622240343457,557.8501720506681,7.342922508103247e-05,128.53482733587703,0.0625491487606615,70.05981416736358,0.039305461824519335,0.0,1.0,20.28078225779973,0.1801982448839567,4.8771066633753435,0.4377990322998784,458.97552957697326,4.399975591236173e-05,8.623705179263425,0.2502442235717569,-27.480001335119596,0.9229280688979935,0.9809906482696533
CPI,0.9,-8.0035504895759,0.8098840110833877,105.52882229221746,0.004071977467253113,557.3638740045326,7.237425014710965e-05,128.3203511406398,0.06264451898883588,73.28710632350749,0.0369300113426623,0.0,1.0,19.557808463168158,0.18354864183278935,5.854150457426158,0.42512151050016206,462.7591821608253,4.160750710505325e-05,8.768484981707843,0.25301604634983654,-28.08211032371628,0.9294527262286074,0.9780550003051758
CPI_sqrt,0.0,-8.016254237677458,0.6980056198064467,106.08976811871685,0.011060143385805268,558.710131427347,0.00013549033166368942,128.66210376661957,0.07685116250050485,69.40928913874791,0.06348111849346012,0.0,0.5,20.691140882975333,0.2361048657006759,4.1489997084891,0.4560322397220579,456.79024310549585,0.00010268342402482983,8.371408676452347,0.32915901762203503,-26.98822165399997,0.8526045671336864,8.29934573173523
CPI_sqrt,0.3,-8.013444066477405,0.6979451454908245,106.00162732275317,0.011082108538745578,558.3513476105093,0.00013594909121632248,128.60806511915098,0.07689081215785963,69.12569033408022,0.06551673846892098,0.0,0.5,20.520201409823585,0.2370589984704224,4.349506820403121,0.45386468659024687,457.70934052487587,0.00010134704240915567,8.503208762719396,0.3273466123971366,-27.211465716355406,0.8551533067560233,0.988370418548584
CPI_sqrt,0.6,-8.010329516007914,0.6978785212369867,105.88167831040869,0.011112210050597947,557.8501720506681,0.00013659707724993856,128.53482733587703,0.07693873091140857,70.05981416736358,0.06456457060587316,0.0,0.5,20.28078225779973,0.23840835739289123,4.8771066633753435,0.4482418491800098,458.97552957697326,9.952871780300795e-05,8.623705179263425,0.3260929676060019,-27.480001335119596,0.8583090065179222,0.9830677509307861
CPI_sqrt,0.9,-8.0035504895759,0.6977350926461316,105.52882229221746,0.011201739577018144,557.3638740045326,0.0001349274412562137,128.3203511406398,0.07705958364793838,73.28710632350749,0.06077142957884303,0.0,0.5,19.557808463168158,0.24256921097533196,5.854150457426158,0.43770684285372485,462.7591821608253,9.427544568819814e-05,8.768484981707843,0.32662416567800256,-28.08211032371628,0.8654189566135213,0.9742255210876465
CPI_n,0.0,-8.016254237677458,0.7964018802425873,106.08976811871685,0.00446859538850229,558.710131427347,7.709499406648416e-05,128.66210376661957,0.06371355641975641,69.40928913874791,0.0401836127021597,0.0,0.5,20.691140882975333,0.1841470522202801,4.1489997084891,0.4480739144806332,456.79024310549585,4.901444474023017e-05,8.371408676452347,0.2621278709864249,-26.98822165399997,0.9116508532096431,8.285562515258789
CPI_n,0.3,-8.013444066477405,0.7963257392412184,106.00162732275317,0.004477430641844615,558.3513476105093,7.735713688513342e-05,128.60806511915098,0.06374726776385697,69.12569033408022,0.041957316120139795,0.0,0.5,20.520201409823585,0.1849389542799884,4.349506820403121,0.4455073021986533,457.70934052487587,4.83589470535264e-05,8.503208762719396,0.26017859960374107,-27.211465716355406,0.9140709277482071,0.9854347705841064
CPI_n,0.6,-8.010329516007914,0.7962421741977667,105.88167831040869,0.004489562156628852,557.8501720506681,7.7727696921292e-05,128.53482733587703,0.0637872005870508,70.05981416736358,0.04138037272476248,0.0,0.5,20.28078225779973,0.18606037177572116,4.8771066633753435,0.43886787076407047,458.97552957697326,4.746709261574512e-05,8.623705179263425,0.25913710600243767,-27.480001335119596,0.9170639490406306,0.9829955101013184
CPI_n,0.9,-8.0035504895759,0.7960635499856685,105.52882229221746,0.004525722554809763,557.3638740045326,7.662666679996017e-05,128.3203511406398,0.06388485203660214,73.28710632350749,0.0388781085687945,0.0,0.5,19.557808463168158,0.18952487219035324,5.854150457426158,0.4264095346340717,462.7591821608253,4.489228023075022e-05,8.768484981707843,0.2615937323576082,-28.08211032371628,0.9237215770453142,0.9457859992980957
CPI_bt,0.0,-8.016254237677458,0.5382214102394042,106.08976811871685,0.47012958783434516,558.710131427347,0.4872567739541139,128.66210376661957,0.4913576039105342,69.40928913874791,0.4832531253664688,0.0,0.5,20.691140882975333,0.4846984788196884,4.1489997084891,0.4979863495944838,456.79024310549585,0.48737275668029595,8.371408676452347,0.47849488854293293,-26.98822165399997,0.5267874972461342,8.363439083099365
CPI_bt,0.3,-8.013444066477405,0.5286065826359498,106.00162732275317,0.4716046755165209,558.3513476105093,0.4883464618108743,128.60806511915098,0.49224061280785686,69.12569033408022,0.4823983434213013,0.0,0.5,20.520201409823585,0.4846904593943241,4.349506820403121,0.49771089448795575,457.70934052487587,0.4890917225129081,8.503208762719396,0.4786501192193368,-27.211465716355406,0.534056136568657,1.0647358894348145
CPI_bt,0.6,-8.010329516007914,0.5451707864571126,105.88167831040869,0.4667806326747642,557.8501720506681,0.49041052200767404,128.53482733587703,0.4918566825646797,70.05981416736358,0.4825402007735633,0.0,0.5,20.28078225779973,0.48269430152809273,4.8771066633753435,0.4980480165422866,458.97552957697326,0.4874885101161609,8.623705179263425,0.48125670202793924,-27.480001335119596,0.5326238469401373,1.0586483478546143
CPI_bt,0.9,-8.0035504895759,0.5408956151214162,105.52882229221746,0.4737508600754596,557.3638740045326,0.4873475126456574,128.3203511406398,0.493472826923595,73.28710632350749,0.4812027238793542,0.0,0.5,19.557808463168158,0.4818778369968149,5.854150457426158,0.49764170512542394,462.7591821608253,0.48671950003770875,8.768484981707843,0.48124425298886464,-28.08211032371628,0.5333894430565121,1.029764175415039
CPI_sqd,0.0,-8.016254237677458,0.537695651788272,106.08976811871685,0.4764391912815703,558.710131427347,0.488967913303971,128.66210376661957,0.4930379421575107,69.40928913874791,0.4821248952107941,0.0,0.5,20.691140882975333,0.48340224850988667,4.1489997084891,0.49798499760572806,456.79024310549585,0.483786691980685,8.371408676452347,0.47359357613694364,-26.98822165399997,0.5309653231050806,8.368866920471191
CPI_sqd,0.3,-8.013444066477405,0.5364986811206038,106.00162732275317,0.4770861735817842,558.3513476105093,0.49020198311954183,128.60806511915098,0.4930558218113119,69.12569033408022,0.4795976639604614,0.0,0.5,20.520201409823585,0.48473239514301986,4.349506820403121,0.49842134265981564,457.70934052487587,0.4857185186416949,8.503208762719396,0.48368028980005595,-27.211465716355406,0.5368207715454414,1.0639312267303467
