method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,tr_time
LOCO-W,0.0,1.4869328338320114,0.04923418741591079,1.2325224260997818,0.050491575180010684,0.12378419663750426,0.4206685529233709,1.6157723023502752,0.014222813860980565,0.6741680047472792,0.13319152518259314,-0.6113701055679585,0.8197092082823838,-0.06791352353559071,0.5433247350251659,16.00925712870337,0.0,-0.4216765155971721,0.7338097392166083,16.543685913085938
LOCO-W,0.3,1.611581131847387,0.013721010956240454,0.3401410360979108,0.30539797162578697,-0.7443963617687213,0.8666209489901158,1.0034985802640477,0.08641784180275713,0.2129760855549406,0.3800949532557327,0.4053705557896634,0.27231822977231124,0.2334020786375436,0.3753389125866168,16.395601742522945,0.0,0.4272080721827077,0.2724218653509427,16.274229049682617
LOCO-W,0.6,1.779756324935568,0.005344152537132718,1.098992800192951,0.0555878173972163,0.21020869978309428,0.38227358511339704,0.634955365896693,0.1986448837212238,-0.5923345956683662,0.799279852433172,1.224022982701044,0.04375295077741237,-0.9871715966274063,0.9124934607917453,12.320228779733087,0.0,-0.9675587965451966,0.9548621103080814,16.38467311859131
LOCO-W,0.9,1.4324767821299218,0.03321218837276363,1.0351125835469555,0.07992247463560331,-0.5088251932205898,0.7883431191996537,1.12076475649723,0.06374515137024406,-0.8993790356122611,0.912724053841955,-0.11927122014112658,0.5753826619156166,0.8847041671878737,0.08452135044410625,10.871500996780528,0.0,-1.09135974140279,0.9642354531643472,16.3197820186615
CPI,0.0,12.43213882336924,3.252860474914672e-09,3.1224467989310867,9.118960791133876e-05,0.7594716271224691,0.004041074193781149,4.456930540072669,3.703031302606907e-06,3.5641667957041783,4.868393941683177e-06,0.6152880575619228,0.025846153267973255,2.1590822275256834,4.909379353555776e-05,116.2038132704676,3.6381020437989154e-32,-0.01282611169565584,0.5169572281575693,14.529349565505981
CPI,0.3,2.2603026518785256,0.007736433089230912,2.634283387050054,0.00037389738170932516,0.33448886757654606,0.075351245913496,2.6410077938998526,8.3354485443577e-07,2.797776441475264,0.0002613168093241519,0.477905405462721,0.009919738373563669,-0.02387165177823647,0.5827481985369817,67.60125567515446,2.0513556777579875e-21,-0.02217313040597979,0.5585164230794643,6.120686054229736
CPI,0.6,0.7286669844178881,0.1319491574311895,1.9608311204367794,0.0015183544952026642,0.07504945428814125,0.25597767150868156,1.2889181022912908,3.290706160949602e-05,1.4518147145156597,0.007877037773193155,0.09529910292224031,0.1845204014425691,-0.039829549996127867,0.7315850454615827,29.93335206147857,1.091054790341627e-11,-0.04490078384728946,0.6803368875867267,4.378033638000488
CPI,0.9,0.4720081901288502,0.01772921656947444,1.6831378479108423,0.00424788857643794,0.007574408762131668,0.42184009628822494,0.6284889924583332,0.0005662049255176325,1.2092443306971106,0.0010182427548704265,-0.04648794118760691,0.710137047774902,-0.011192835207410212,0.5964546883719315,6.09435745238962,3.934736168688793e-05,0.014770431967196629,0.40427246714640336,4.501105546951294
CPI_sqrt,0.0,12.43213882336924,2.4076432135339134e-05,3.1224467989310867,0.03726283698714431,0.7594716271224691,0.2639571867585728,4.456930540072669,0.009842768377684216,3.5641667957041783,0.019254714701071284,0.6152880575619228,0.30884393778366437,2.1590822275256834,0.07105790017002897,116.2038132704676,2.920126863833055e-27,-0.01282611169565584,0.5042004520271195,11.415510654449463
CPI_sqrt,0.3,2.2603026518785256,0.1109028931272491,2.634283387050054,0.060385518216709344,0.33448886757654606,0.3855066171138094,2.6410077938998526,0.035989574558844994,2.797776441475264,0.05221374630062517,0.477905405462721,0.3350277710114131,-0.02387165177823647,0.5092385056185565,67.60125567515446,3.108393223258614e-17,-0.02217313040597979,0.5082888703086462,6.051806449890137
CPI_sqrt,0.6,0.7286669844178881,0.32114358767106976,1.9608311204367794,0.1070123433407385,0.07504945428814125,0.4709834984551441,1.2889181022912908,0.1491907922929202,1.4518147145156597,0.16939758639928854,0.09529910292224031,0.46287446082619815,-0.039829549996127867,0.5161933406379756,29.93335206147857,1.388812184353976e-08,-0.04490078384728946,0.5176893667546915,4.408920526504517
CPI_sqrt,0.9,0.4720081901288502,0.3395446055960555,1.6831378479108423,0.13969907648674246,0.007574408762131668,0.49683556914612154,0.6284889924583332,0.285548953409594,1.2092443306971106,0.17770215920495291,-0.04648794118760691,0.5185312648712097,-0.011192835207410212,0.5046399930484277,6.09435745238962,0.006617772645454535,0.014770431967196629,0.49397172447674703,4.501780271530151
CPI_n,0.0,12.43213882336924,7.337019770399465e-09,3.1224467989310867,0.00021402014757599346,0.7594716271224691,0.012509026771227241,4.456930540072669,1.0293984171577912e-05,3.5641667957041783,1.632387114754189e-05,0.6152880575619228,0.047429653637534576,2.1590822275256834,0.00018530756200228155,116.2038132704676,7.525629211594968e-32,-0.01282611169565584,0.5144595265562198,9.752336502075195
CPI_n,0.3,2.2603026518785256,0.0109223340626374,2.634283387050054,0.000787395185494169,0.33448886757654606,0.12018385326020103,2.6410077938998526,6.036800182796167e-06,2.797776441475264,0.000560498569434761,0.477905405462721,0.031629346369793976,-0.02387165177823647,0.5570382133929159,67.60125567515446,3.917027393734352e-21,-0.02217313040597979,0.5435399600181144,6.08670973777771
CPI_n,0.6,0.7286669844178881,0.15044529007308471,1.9608311204367794,0.0030028759795022552,0.07504945428814125,0.326161367284938,1.2889181022912908,0.0002949586045074136,1.4518147145156597,0.013145042426852325,0.09529910292224031,0.2734917972582317,-0.039829549996127867,0.6336413680174562,29.93335206147857,1.843303552768845e-11,-0.04490078384728946,0.6192419793303839,4.444093227386475
CPI_n,0.9,0.4720081901288502,0.04394556102838793,1.6831378479108423,0.007480166321791118,0.007574408762131668,0.4666675441383587,0.6284889924583332,0.005185915357775982,1.2092443306971106,0.003237324086742565,-0.04648794118760691,0.6336794545907325,-0.011192835207410212,0.5454766716565977,6.09435745238962,6.690702051973027e-05,0.014770431967196629,0.44804537759696306,4.483777284622192
