method,corr,imp_V0,pval0,imp_V1,pval1,imp_V2,pval2,imp_V3,pval3,imp_V4,pval4,imp_V5,pval5,imp_V6,pval6,imp_V7,pval7,imp_V8,pval8,imp_V9,pval9,imp_V10,pval10,tr_time
LOCO-W,0.0,56.35009158069185,0.4340400927871111,-462.4546408824186,0.9170910460154565,815.2912438942451,0.008317261180878055,544.3258370828113,0.05280082927058882,-797.4007229625715,0.9898027507362196,65.82971338290702,0.4187835336480703,-1208.658480858932,0.9999688837328505,63.29434980127178,0.42188960922697505,795.4151467718581,0.009998931387295351,-232.64107664209138,0.7543933931501458,1075.4802973149033,0.0003883012574764644,29.863983631134033
LOCO-W,0.3,133.99964357656899,0.34149582812201995,-51.3827067273511,0.5589174725710566,10.372355636697781,0.48715703975116575,-337.78270694417097,0.8516520973835519,186.57056759985156,0.27329308915118844,-730.312425036089,0.9873065350159215,145.96230370810713,0.329226202890755,38.5993577579825,0.45024502857274307,150.21089953793154,0.3283206855349734,-388.43807306851573,0.8757443567113905,586.981878900019,0.037599459370204036,30.95537543296814
LOCO-W,0.6,102.0134507624159,0.3729785124388133,-172.85550479544676,0.6941003114606943,370.9971714817935,0.13045526824004727,-253.9210093621885,0.7741959885800466,-29.53521778715457,0.5358137263242989,167.13266851766886,0.31481804096166455,-199.93874027201832,0.7183310842394338,291.65805173836,0.19614328124388636,351.47388723823343,0.15455480315185433,-117.55923411639297,0.6425064822254245,370.6041981709542,0.1438833586697965,31.217841863632202
LOCO-W,0.9,149.07601742794571,0.3257044251032415,-62.5787039649426,0.5808369848932857,695.048307852516,0.020781204528515063,284.7488736912046,0.20372998119322172,419.88033138461515,0.09792709006019173,131.96913998014733,0.3329065800279334,-251.03357862711744,0.7734059762636603,868.9878606315143,0.001462170192065626,276.4450684678032,0.22253205684182253,-372.61566260669264,0.8768644456115539,195.68184374647035,0.27313186232084474,30.442795276641846
CPI,0.0,-16.663927768655185,0.8254280542605759,-62.71927308321415,0.7049260426580881,606.1372226299752,6.732403441883896e-05,261.9758105965923,0.00638786426856793,-2.433064038391649,0.8069839846546052,-30.66687111463716,0.7302931128681531,55.11297155109423,0.2585437935336848,-26.57948627193514,0.7327045371392861,233.4530158261041,0.06349015249238817,19.71773259850079,0.21179133091417696,-72.66400168525092,0.9839283593338563,14.267242908477783
CPI,0.3,-14.992165748355092,0.8028167668464204,-60.31015011247587,0.6972398458469725,608.2868621223663,6.569406219898724e-05,263.3677799335512,0.006067070407632003,-2.3138240083005712,0.810531324710817,-30.03073504235249,0.7275170574608962,55.63763797961701,0.25610946601729756,-26.366641241018897,0.7333761016783744,232.93676187552842,0.06410511082548627,19.668884261878475,0.2096753673109631,-66.69397506324572,0.9712878029918915,3.0495071411132812
CPI,0.6,-13.721061434744797,0.8002673015117878,-57.137892288124704,0.6879737684083288,610.0782881532473,6.152349489684456e-05,272.0298241137898,0.004433940374567682,-1.9839647857604632,0.8279826028244748,-26.236278926946625,0.7024839187973679,59.374047929707785,0.2377662726454498,-30.19722459440277,0.7685955595665293,229.93830481691225,0.06671409311767523,19.752224213152886,0.2067131223501359,-40.636301326879675,0.8635770972941198,3.125653028488159
CPI,0.9,-13.023526409177066,0.7815987180497935,-55.33712632434708,0.6834438570463857,601.7181992285718,7.492357236265932e-05,266.3467741990594,0.004580705569015708,0.6219712265251474,0.257411815485012,-20.277200772862216,0.6583706102897191,56.26428118083777,0.24570045119556339,-27.483636741812916,0.7479770528446876,244.48633899604988,0.056369516705939,21.7516210750332,0.1611561814532138,-12.422451983857172,0.7281599319838246,3.1576476097106934
CPI_sqrt,0.0,-16.663927768655185,0.7532156372917791,-62.71927308321415,0.6949654928561435,606.1372226299752,0.00012283468767106167,261.9758105965923,0.009533403855508864,-2.433064038391649,0.6026765806937857,-30.66687111463716,0.7063201960889365,55.11297155109423,0.273724694747474,-26.57948627193514,0.7049487893703469,233.4530158261041,0.07166003746912547,19.71773259850079,0.26357691699426344,-72.66400168525092,0.9637677509867981,9.799729108810425
CPI_sqrt,0.3,-14.992165748355092,0.7326906357345566,-60.31015011247587,0.6876083187946732,608.2868621223663,0.0001199433822557786,263.3677799335512,0.009109561325655836,-2.3138240083005712,0.5995970509501011,-30.03073504235249,0.703609011037061,55.63763797961701,0.27142745883069724,-26.366641241018897,0.7052789878732088,232.93676187552842,0.07229905359511413,19.668884261878475,0.262196207079035,-66.69397506324572,0.9453789577293149,3.04402756690979
CPI_sqrt,0.6,-13.721061434744797,0.726121590419338,-57.137892288124704,0.6787037404736687,610.0782881532473,0.00011295307885236407,272.0298241137898,0.006905051744976342,-1.9839647857604632,0.590832252557427,-26.236278926946625,0.6805928490070883,59.374047929707785,0.25414297804297314,-30.19722459440277,0.7367899787968315,229.93830481691225,0.07503619987907344,19.752224213152886,0.25992639416498664,-40.636301326879675,0.8243387916620948,3.126213788986206
CPI_sqrt,0.9,-13.023526409177066,0.7119898153948327,-55.33712632434708,0.6743134000433086,601.7181992285718,0.00013565705406595193,266.3467741990594,0.007158179007503907,0.6219712265251474,0.46693574574834895,-20.277200772862216,0.6407870800253218,56.26428118083777,0.2620241489918018,-27.483636741812916,0.7178514086337597,244.48633899604988,0.06407429444207002,21.7516210750332,0.22281613611617895,-12.422451983857172,0.6772888886322503,3.1616106033325195
CPI_n,0.0,-16.663927768655185,0.817885846828019,-62.71927308321415,0.7040244882233483,606.1372226299752,7.11293307213866e-05,261.9758105965923,0.0066318421439822296,-2.433064038391649,0.764581962282777,-30.66687111463716,0.7280122463550875,55.11297155109423,0.2599333992189308,-26.57948627193514,0.730025910653517,233.4530158261041,0.06419504163677833,19.71773259850079,0.2170438239174038,-72.66400168525092,0.9824576765825822,9.809784650802612
CPI_n,0.3,-14.992165748355092,0.7953533376328459,-60.31015011247587,0.6963676920067366,608.2868621223663,6.941123448648396e-05,263.3677799335512,0.006302409939830836,-2.3138240083005712,0.7653932687377699,-30.03073504235249,0.7252397226476718,55.63763797961701,0.25751133862831055,-26.366641241018897,0.7306617930082622,232.93676187552842,0.06481227621008404,19.668884261878475,0.21500602345113268,-66.69397506324572,0.9692478517774041,3.08268404006958
CPI_n,0.6,-13.721061434744797,0.7922399897827993,-57.137892288124704,0.6871337618114535,610.0782881532473,6.503791261706717e-05,272.0298241137898,0.00462190586728992,-1.9839647857604632,0.7717917850507243,-26.236278926946625,0.7003888240754716,59.374047929707785,0.239262769979402,-30.19722459440277,0.765541342608925,229.93830481691225,0.06743315050986634,19.752224213152886,0.21211276302579657,-40.636301326879675,0.8599296593009831,3.1338939666748047
CPI_n,0.9,-13.023526409177066,0.7740144918433627,-55.33712632434708,0.6826160527858174,601.7181992285718,7.910297074655579e-05,266.3467741990594,0.004776679878521051,0.6219712265251474,0.34140457256744783,-20.277200772862216,0.6566789597169498,56.26428118083777,0.24719520908113218,-27.483636741812916,0.745068245681851,244.48633899604988,0.05703199956815212,21.7516210750332,0.1673179508609282,-12.422451983857172,0.7226978784129985,3.1534881591796875
CPI_bt,0.0,-16.663927768655185,0.5228578554380214,-62.71927308321415,0.5016866682431778,606.1372226299752,0.49082207578581016,261.9758105965923,0.49205961718199215,-2.433064038391649,0.6128290461589632,-30.66687111463716,0.5060208976592003,55.11297155109423,0.4967765384438516,-26.57948627193514,0.5064168702331417,233.4530158261041,0.49559590608532894,19.71773259850079,0.48806791408527694,-72.66400168525092,0.5260574355270886,9.872864723205566
CPI_bt,0.3,-14.992165748355092,0.5194366137176588,-60.31015011247587,0.5017444671917415,608.2868621223663,0.4910401962017771,263.3677799335512,0.48979663293105735,-2.3138240083005712,0.6197398698210919,-30.03073504235249,0.5047806825222141,55.63763797961701,0.4975033360050259,-26.366641241018897,0.5055394898470584,232.93676187552842,0.49570330282854774,19.668884261878475,0.48486128626250086,-66.69397506324572,0.5219313398368272,3.1524593830108643
CPI_bt,0.6,-13.721061434744797,0.5216151888938356,-57.137892288124704,0.5016039547244343,610.0782881532473,0.4907965374694599,272.0298241137898,0.48700282048426463,-1.9839647857604632,0.6870191175427662,-26.236278926946625,0.5038785751249387,59.374047929707785,0.4967173760478779,-30.19722459440277,0.5070917290163933,229.93830481691225,0.4959999703858258,19.752224213152886,0.48573545751016856,-40.636301326879675,0.5124506669893735,3.177988290786743
